timestamp,dominant,angry,disgust,fear,happy,sad,surprise,neutral
0.0,happy,0.0,0.0,0.0,81.52,0.0,0.01,18.47
1.0,happy,0.0,0.0,0.0,67.48,0.0,0.0,32.52
2.0,happy,0.0,0.0,0.0,83.89,0.01,0.0,16.09
3.0,happy,0.0,0.0,0.0,98.38,0.0,0.0,1.62
4.0,neutral,1.84,0.0,9.89,33.38,8.64,0.11,46.14
5.0,neutral,1.96,0.0,2.34,20.02,11.37,0.14,64.17
5.99,happy,0.0,0.0,0.0,91.77,0.0,0.0,8.23
6.99,happy,0.01,0.0,0.0,82.3,0.01,0.02,17.67
7.99,happy,0.0,0.0,0.0,54.86,0.0,0.0,45.14
8.99,happy,0.0,0.0,0.02,62.18,0.01,0.02,37.77
9.99,happy,0.0,0.0,0.0,70.96,0.0,0.0,29.03
